lemma_key	overlapping_ratio	gloss	num_sents
claim%2:40:00::	0.0824175824175824	demand as being one's due or property; assert one's right or title to	14
claim%2:32:02::	0.125	ask for legally or make a legal claim to, as of debts, for example	9
claim%1:07:02::	0.5	an informal right to something	3
claim%2:32:00::	0.0303030303030303	assert or affirm strongly; state to be true or existing	34
claim%2:32:03::	0.3333333333333333	lay claim to; as of an idea	4
claim%1:07:01::	1.0	an established or recognized right	2
claim%1:04:00::	0.2	demand for something as rightful or due	6
claim%1:10:00::	0.0851449275362318	an assertion of a right (as to money or property)	24
claim%1:10:02::	0.1	an assertion that something is true or factual	11
construct%2:36:01::	0.25	"put together out of artificial or natural components or parts; ; ; He manufactured a popular cereal"""	5
construct%2:36:00::	0.7804232804232805	make by combining materials and parts	28
construct%2:35:00::	1.0	draw with suitable instruments and under specified conditions	2
line%1:09:01::	0.1111111111111111	a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process of logical reasoning	10
line%1:10:02::	0.1	text consisting of a row of words written across a page or computer screen	11
line%1:06:06::	0.3333333333333333	a pipe used to transport liquids or gases	4
line%1:15:00::	0.3333333333333333	a spatial location defined by a real or imaginary unidimensional extent	4
line%2:42:00::	0.1666666666666666	be in line with; form a line along	7
line%1:10:01::	0.0526315789473684	a mark that is long relative to its width	20
line%1:14:03::	0.2	a formation of people or things one beside another	6
line%1:14:02::	0.1428571428571428	a connected series of events or actions or developments	8
line%1:14:01::	0.0833333333333333	a formation of people or things one behind another	13
line%1:06:03::	0.3333333333333333	the road consisting of railroad track and roadbed	4
line%1:14:00::	1.0	the descendants of one individual	2
line%1:06:00::	1.0	something (as a cord or rope) that is long and thin and flexible	2
line%1:06:07::	0.5	a telephone connection	3
line%1:04:01::	0.5	acting in conformity	3
line%1:25:00::	0.1428571428571428	a length (straight or curved) without breadth or thickness; the trace of a moving point	8
line%2:35:00::	0.25	cover the interior of	5
line%1:06:01::	0.125	a conductor for transmitting electrical or optical signals or electric power	9
line%1:04:00::	1.0	the principal activity in your life that you do to earn money	2
line%1:19:00::	0.1111111111111111	a single frequency (or very narrow band) of radiation in a spectrum	10
*level%2:33:02::	0.3333333333333333	aim at	4
level%1:07:01::	0.25	height above ground	5
level%1:26:00::	0.1047619047619047	a specific identifiable position in a continuum or series or especially in a process	15
level%1:07:00::	0.46462063086104	a position on a scale of intensity or amount or quality	69
level%1:26:01::	0.1515151515151515	a relative position or degree of value in a graded group	22
face%2:42:00::	0.0833333333333333	be oriented in a certain direction, often with respect to another reference point; be opposite to	13
face%1:18:00::	1.0	a part of a person that is used to refer to a person	2
face%2:42:02::	0.3333333333333333	be opposite	4
face%1:08:00::	0.015215028722248	the front of the human head from the forehead to the chin and ear to ear	114
face%2:32:00::	0.0185185185185185	deal with (something unpleasant) head on	55
face%1:06:02::	0.3333333333333333	the striking or working surface of an implement	4
face%1:07:00::	0.05	the general outward appearance of something	21
face%1:07:03::	0.5	the feelings expressed on a person's face	3
face%2:33:00::	0.032258064516129	oppose, as in hostility or a competition	32
face%2:32:03::	0.5	present somebody with something, usually to accuse or criticize	3
appeal%2:41:00::	0.3333333333333333	take a court case to a higher court for review	4
appeal%1:07:00::	0.1428571428571428	attractiveness that interests or pleases or stimulates	8
appeal%1:10:00::	0.3333333333333333	earnest or urgent request	4
appeal%1:04:00::	0.1428571428571428	(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial	8
*appeal%2:32:00::	1.0	request earnestly (something from somebody); ask for aid or protection	2
rotate%2:38:01::	1.0	turn on or around an axis or a center	8
piece%1:17:00::	0.1964285714285714	a portion of a natural object	8
piece%1:10:02::	1.0	an artistic or literary composition	2
piece%1:11:00::	0.3333333333333333	an instance of some kind	4
piece%1:06:00::	0.2285714285714285	a separate part of a whole	15
piece%1:06:05::	0.1153846153846153	an item that is an instance of some type	13
piece%1:10:01::	0.1666666666666666	a musical work that has been created	7
plunge%2:30:10::	0.4166666666666667	begin with vigor	4
plunge%2:38:01::	0.8333333333333334	drop steeply	4
plunge%2:35:01::	0.25	thrust or throw into	5
reform%1:04:00::	1.0	a change for the better as a result of correcting abuses	3
invite%2:41:01::	0.5	have as a guest	3
invite%2:37:01::	0.2619047619047619	increase the likelihood of	7
invite%2:41:00::	0.2	invite someone to one's house	6
invite%2:32:01::	1.0	request the participation or presence of	2
invite%2:35:00::	1.0	ask to enter	2
invite%2:32:00::	0.2	ask someone in a friendly way to do something	6
invite%2:37:00::	0.3	give rise to a desire by being attractive or inviting	6
depress%2:37:00::	1.0	lower someone's spirits; make downhearted	3
profess%2:32:00::	0.8333333333333334	practice as a profession, teach, or claim to be knowledgeable about	4
profess%2:32:03::	0.6666666666666666	confess one's faith in, or allegiance to	3
lean%3:00:04::	0.3333333333333333	lacking excess flesh; ; -Shakespeare	4
lean%2:42:01::	0.5	have a tendency or disposition to do or be something; be inclined	3
lean%2:38:00::	0.4093567251461988	to incline or bend from a vertical position	19
lean%2:35:00::	0.3333333333333333	cause to lean or incline	4
interrupt%2:32:00::	0.7636363636363637	make a break in	11
interrupt%2:30:03::	0.45	destroy the peace or tranquility of	5
demand%1:10:00::	0.0974025974025974	an urgent or peremptory request	22
demand%2:32:02::	0.2	claim as due or just	6
demand%1:22:00::	0.125	the ability and desire to purchase goods and services	9
demand%2:32:00::	0.0798780487804878	request urgently and forcefully	41
demand%1:09:00::	0.2	required activity	6
demand%2:42:00::	0.0476190476190476	require as useful, just, or proper	22
demand%1:04:00::	0.5	the act of demanding	3
infect%2:29:01::	1.0	communicate a disease to	2
paste%2:35:01::	0.25	join or attach with or as if with glue	5
paste%1:27:01::	0.4166666666666667	any mixture of a soft and malleable consistency	4
tie%1:26:01::	0.3333333333333333	a social or business relationship	4
tie%2:35:00::	0.0909090909090909	fasten or secure with a rope, string, or cord	12
tie%1:26:00::	0.5	equality of score in a contest	3
*tie%2:30:01::	0.3333333333333333	limit or restrict to	4
tie%2:33:00::	0.3333333333333333	finish a game with an equal number of points, goals, etc.	4
tie%1:06:01::	0.25	neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front	5
splash%2:35:01::	1.0	cause (a liquid) to spatter about, especially with force	2
refine%2:30:01::	1.0	improve or perfect by pruning or polishing	2
suck%2:34:04::	0.6666666666666666	draw into the mouth by creating a practical vacuum in the mouth	3
*suck%2:38:00::	1.0	draw something in by or as if by a vacuum	2
inherit%2:40:00::	1.0	obtain from someone after their death	14
join%2:35:01::	0.1830065359477124	cause to become joined or linked	18
join%2:41:00::	0.6234727878563495	become part of; become a member of a group or organization	74
join%2:35:00::	0.1666666666666666	make contact or come together	7
join%2:41:01::	0.3	come into the company of	6
register%1:10:00::	1.0	an official written record of names or events or transactions	2
register%2:32:03::	0.2	record in a public office or in a court of law	6
register%2:32:00::	1.0	indicate a certain reading; of gauges and instruments	2
register%2:39:00::	0.5	be aware of	3
register%2:41:00::	0.1666666666666666	record in writing; enter into a book of names or events or transactions	7
register%2:41:01::	0.4166666666666667	enroll to vote	4
mount%1:05:00::	0.3333333333333333	a lightweight horse kept for riding only	4
mount%2:38:01::	0.5	get up on the back of	3
*mount%2:36:00::	0.3333333333333333	put up or launch	4
mount%2:35:00::	0.1111111111111111	attach to a support	10
mount%2:30:00::	0.1428571428571428	go up or advance	8
mount%2:38:00::	0.5	go upward with gradual or continuous progress	3
mount%2:30:01::	0.2	fix onto a backing, setting, or support	6
correct%2:41:01::	0.25	make reparations or amends for	5
correct%5:00:00:proper:00	1.0	socially right or correct	2
correct%2:30:00::	0.391025641025641	make right or correct	13
correct%3:00:00::	0.25	free from error; especially conforming to fact or truth	5
lay%2:35:01::	0.3815789473684211	put into a certain place or abstract location	20
lay%2:35:02::	0.3333333333333333	lay eggs	4
*lay%2:36:00::	0.25	prepare or position for action or operation	5
lay%2:35:00::	0.1454545454545454	put in a horizontal position	11
march%1:04:02::	1.0	a steady advance	2
march%2:38:01::	0.125	march in a procession	9
march%2:38:00::	0.5	walk fast, with regular or measured steps; walk with a stride	3
march%1:28:00::	0.0708333333333333	the month following February and preceding April	16
stream%1:17:00::	0.0824175824175824	a natural body of running water flowing on or under the earth	14
stream%1:04:00::	0.5	the act of flowing or streaming; continuous progression	3
*stream%2:38:01::	0.5	to extend, wave or float outward, as if in the wind	3
stream%1:11:00::	1.0	a steady flow of a fluid (usually from natural causes)	2
stream%1:14:00::	0.3333333333333333	dominant course (suggestive of running water) of successive events or ideas	4
besiege%2:33:00::	1.0	surround so as to force to give up	2
fear%2:37:00::	0.1078431372549019	be afraid or scared of; be frightened of	18
fear%1:12:00::	0.3415300546448087	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)	61
fear%1:12:01::	0.3333333333333333	an anxious feeling	4
fear%2:37:03::	0.0555555555555555	be afraid or feel anxious or apprehensive about a possible or probable situation or event	19
